,Aff,Neg,Win
0,College Prep EN,Bellarmine  RH,Neg
1,Bay Area Independent PL,Barstow TM,Neg
2,Archbishop Mitty MR,Meadows GK,Aff
3,Bellarmine  IB,Green Canyon OZ,Aff
4,Meadows KR,Rowland Hall UV,Neg
5,Barstow BS,Bellarmine  CG,Neg
6,Bellarmine  OL,New Trier MP,Neg
7,Rowland Hall LD,Westlake SB,Aff
8,West HS SLC JS,New Trier HJ,Neg
9,Park City LL,Rowland Hall SC,Neg
10,Park City SC,Corner Canyon DK,Neg
11,Brophy SH,Sacred Heart Cathedral Prep FY,Neg
12,Santa Fe Prep LV,BASIS Peoria JG,Neg
13,Barstow GH,New Trier PH,Aff
14,West HS SLC KA,Meadows HK,Aff
15,BASIS Peoria HD,Brophy SR,Neg
16,Sacred Heart Cathedral Prep CB,Archbishop Mitty TW,Neg
17,Brophy PP,Meadows KS,Aff
18,New Trier SY,Arizona  SS,Aff
