,Aff,Neg,Win
0,Baltimore City HM,BASIS DC DS,Neg
1,Creative Minds/Stuart Hobson MT,CMIT North MG,Aff
2,Mamaroneck MT,Brooklyn Technical JL,Neg
3,SWW DP,BASIS DC AP,Neg
4,McDonogh SP,Newark Science OO,Neg
5,College Park AO,Banneker TG,Aff
6,Banneker MS,McDonogh VB,Aff
7,Duke Ellington TA,Sidwell AA,Aff
8,Baltimore City AP,BASIS DC MC,Aff
9,McDonogh KL,Georgetown Day KN,Neg
10,Sidwell FV,Mamaroneck FC,Neg
11,Collegiate FK,Calvert Hall BM,Aff
12,Collegiate PX,Georgetown Day GK,Neg
13,SWW WP,McDonogh CM,Aff
14,Sidwell DJ,Forest Park AF,Aff
15,Mamaroneck WR,Calvert Hall SW,Neg
16,Hardy GP,Brooklyn Technical MC,Neg
17,Eleanor Roosevelt AA,Mamaroneck MS,Neg
18,Georgetown Day DX,Mamaroneck AG,Neg
19,CMIT North/DuVal KM,Duke Ellington SO,Neg
20,McDonogh AH,Calvert Hall AJ,Aff
21,Mamaroneck SW,Baltimore City MW,Neg
22,Collegiate TL,Brooklyn Technical GS,Neg
23,Duke Ellington SS,Calvert Hall CH,Neg
24,BASIS DC TP,Banneker TY,Neg
25,Newark Science AO,SWW NN,Aff
