,Aff,Neg,Win
0,Peninsula DY,Damien-St. Lucy's IG,Aff
1,Peninsula EW,Damien-St. Lucy's KN,Neg
2,Peninsula LiLi,Damien-St. Lucy's JC,Aff
3,Peninsula JS,Huntington Park DS,Neg
4,Lake Balboa DS,Canyon Crest LC,Neg
5,Lake Balboa PL,Peninsula BB,Neg
6,San Marino CJ,Peninsula LW,Neg
