,Aff,Neg,Win
0,Winston Churchill LR,Crossings Christian TL,Neg
1,Heritage Hall HH,Hendrickson AH,Aff
2,Liberal Arts and Science LM,BASIS San Antonio Shavano PK,Aff
3,Greenhill LB,Langham Creek EY,Neg
4,Elkins PS,Greenhill BH,Neg
5,Coppell SP,Niles West SS,Neg
6,Liberal Arts and Science LR,Austin Peace KK,Aff
7,Dulles NM,Casady FJ,Neg
8,Edmond Memorial HL,Casady SS,Neg
9,Clear Springs SG,Westwood GK,Neg
10,Winston Churchill MP,Prosper AV,Aff
11,Athens RH,Crossings Christian SP,Aff
12,Jesuit CJ,Liberal Arts and Science VA,Aff
13,Rock Hill AS,Athens TS,Neg
14,Jesuit BP,Liberal Arts and Science RL,Neg
15,Reagan FP,Greenhill MO,Aff
16,Westwood SG,L C Anderson SW,Neg
17,Melissa TN,Kinkaid AK,Neg
18,Winston Churchill CL,Westwood SA,Neg
19,Melissa SM,Winston Churchill RL,Aff
20,Lake Travis SO,Dulles CI,Neg
21,Caddo Magnet PM,BASIS San Antonio Shavano AT,Aff
22,Isidore Newman JN,McCallum MV,Aff
23,Westwood BA,Claudia Taylor Johnson GR,Aff
24,Austin Peace SA,Langham Creek CT,Aff
25,Liberal Arts and Science BS,Prosper CG,Aff
26,Coppell SJ,Westwood TL,Aff
27,Pharr San Juan Alamo Southwest VC,Dripping Springs CK,Neg
28,Heritage Hall HC,Caddo Magnet VA,Neg
29,Prosper HS,Austin Peace KF,Aff
30,Westwood YS,Jesuit LR,Neg
31,Liberal Arts and Science CK,Greenhill CS,Neg
32,Tomball Memorial CN,Coppell GM,Neg
33,Austin Peace SS,Pharr San Juan Alamo Southwest CG,Aff
