,Aff,Neg,Win
0,St Lucy's Priory GI,Polytechnic TK,Aff
1,Peninsula BB,Taipei American LC,Aff
2,Quarry Lane HG,Mamaroneck FC,Neg
3,Liberal Arts and Science CK,Quarry Lane PS,Aff
4,Washburn Rural CR,Walter Payton BR,Neg
5,Iowa City RL,College Prep AB,Neg
6,Kenwood SW,Head-Royce AP,Aff
7,Little Rock Central MK,Park Tudor WX,Neg
8,Peninsula JS,New Trier PH,Neg
9,Peninsula PY,Montgomery Bell SJ,Neg
10,Northview TC,Taipei American YL,Aff
11,Edina TS,Notre Dame NP,Aff
12,Canyon Crest CS,Katy Taylor WW,Neg
13,Meadows KS,Edina AC,Neg
14,Washburn Rural BH,McDowell LJ,Aff
15,Olathe North MM,Montgomery Bell HM,Neg
16,Liberal Arts and Science LM,Glenbrook North FP,Neg
17,Berkeley Prep NY,Brophy PP,Neg
18,Glenbrook South KZ,Pace MG,Aff
19,Glenbrook North KS,Whitney Young BM,Neg
20,Bellarmine  AQ,Montgomery Bell RP,Aff
21,Peninsula LiLi,BASIS Peoria JG,Aff
22,Winston Churchill MP,Sonoma YK,Neg
23,Glenbrook North CR,Berkeley Prep RV,Neg
24,St Paul Central UB,Lowell CL,Aff
25,Shawnee Mission South MK,Blue Valley North CT,Neg
26,Little Rock Central WC,Hawken LK,Neg
27,Hawken KZ,Bellarmine  CG,Neg
28,Kinkaid AK,Greenhill AJ,Neg
29,Garfield TZ,Blue Valley North BK,Neg
30,Niles North McKa,Polytechnic BH,Aff
31,Little Rock Central BF,Peninsula LL,Neg
32,Kenwood PW,Pace KG,Neg
33,Maine East JN,Lane Tech  JK,Neg
34,New Trier HW,Notre Dame DP,Neg
35,Westminster GS,Brophy SH,Neg
36,Damien-St. Lucy's CM,Bellarmine  RH,Neg
37,Sonoma MM,Montgomery Bell LS,Neg
38,St Paul Central MC,Maine East GR,Aff
39,Iowa City CL,Niles North CS,Neg
40,Jesuit LR,Wylie E. Groves XC,Neg
41,Johns Creek VG,Westminster LY,Aff
42,Pine Crest RR,Blue Valley Southwest DT,Neg
43,Peninsula LW,Maine East HP,Aff
44,Liberal Arts and Science RL,Minneapolis South WB,Aff
45,New Trier MP,Quarry Lane CM,Neg
46,Niles West SS,Northside  AD,Neg
47,Berkeley Prep RG,Blue Valley North PS,Neg
48,Northside  GT,Little Rock Central BG,Aff
49,Montgomery Bell TB,Interlake LY,Aff
50,Berkeley Prep SS,Kenwood BH,Aff
51,Washburn Rural CH,Interlake CS,Aff
52,Alpharetta MM,Pace NS,Aff
53,Bronx Science FC,Glenbrook South BW,Neg
54,Pine Crest MK,Goode STEM CH,Neg
55,NSU BL,Bronx Science GC,Neg
56,Washburn Rural CN,Isidore Newman JN,Aff
57,Archbishop Mitty MR,Glenbrook South MP,Neg
58,Lincoln Park BS,NSU AY,Neg
59,Glenbrook North DE,San Marino CJ,Neg
60,Carrollton School of the Sacred Heart FB,Taipei American HC,Neg
61,Coppell SJ,Newark Science AO,Aff
62,Blue Valley North LP,Garfield NW,Aff
63,Pine Crest AE,Interlake OW,Neg
64,Shawnee Mission East HT,Walter Payton MD,Aff
65,Liberal Arts and Science BF,Damien-St. Lucy's PP,Aff
66,Alpharetta IN,Edina BL,Aff
67,Mamaroneck MT,Greenhill CL,Neg
68,Shawnee Mission East PL,Greenhill BH,Aff
69,Westwood SG,Pittsburgh Central Catholic HS,Aff
70,Hawken LS,Sonoma BS,Aff
71,Westminster VZ,Pace WE,Aff
72,Damien-St. Lucy's KN,Liberal Arts and Science LR,Neg
73,Barstow SH,Berkeley Prep LZ,Aff
74,Liberal Arts and Science BS,Blue Valley Southwest PC,Neg
75,Munster BW,Niles North WC,Neg
76,Jesuit BP,Jones FR,Aff
77,Bellarmine  DD,Lane Tech  ZQ,Aff
78,Peninsula DY,Carrollton School of the Sacred Heart JF,Neg
79,Little Rock Central LW,College Prep JG,Neg
80,Shawnee Mission South AZ,Notre Dame BC,Neg
81,Munster TP,Von Steuben ML,Neg
82,San Marino LC,Notre Dame AM,Neg
83,Lowell BS,New Trier HJ,Neg
84,Leland SL,Westwood GK,Aff
85,Head-Royce DW,Montgomery Bell KF,Neg
86,Bellarmine  OL,Sonoma LM,Aff
87,Von Steuben LM,Carrollton School of the Sacred Heart MG,Neg
88,New Trier SY,Bronx Science EK,Neg
89,Peninsula KK,Westwood BA,Neg
90,Georgetown Day MW,Niles North SP,Neg
91,Carrollton School of the Sacred Heart RG,Munster KW,Aff
92,Glenbrook North WC,Niles North MK,Neg
93,Isidore Newman WA,Berkeley Prep LL,Neg
