,Aff,Neg,Win
0,Eagan WW,Pittsburgh Central Catholic AH,Aff
1,Peninsula DU,Archbishop Mitty MR,Aff
2,Newark Science AO,Little Rock Central WK,Aff
3,Newark Science OO,Maine East JW,Neg
4,Marist AR,Okemos DT,Neg
5,Northwood SY,Clear Springs SG,Aff
6,Caddo Magnet VA,Kinkaid AK,Aff
7,West HS SLC JS,Eagan HR,Aff
8,Eagan TN,Westminster PL,Aff
9,Maine East RU,Marist CL,Neg
10,Woodward CM,Westminster VZ,Aff
11,Unionville KH,St Andrew's Episcopal AK,Aff
12,Northwood ZG,Eagan MS,Aff
13,Little Rock Central LW,Whitney Young BM,Neg
14,Winston Churchill MP,Little Rock Central BF,Aff
