,Aff,Neg,Win
0,Solorio SM,Taipei American HW,Neg
1,Parkrose HG,Berkeley Prep SS,Neg
2,George Washington MB,Franklin PS,Neg
3,Yerba Buena QN,George Washington MR,Aff
4,Woodward AH,Madison Central AW,Aff
5,Solon CN,Woodward HY,Neg
6,Solorio TG,BASIS Peoria JG,Neg
7,Woodward MP,George Washington PA,Aff
8,NSU BL,Unionville KH,Neg
9,St Mark's School of Texas HD,NSU AC,Aff
10,Taipei American YT,St Mark's School of Texas GD,Neg
11,USN CR,Isidore Newman CE,Neg
12,Woodward TJ,NSU AY,Aff
13,Pace MG,St Mark's School of Texas JP,Neg
14,George Washington JZ,Glenbrook North SS,Neg
15,Pace NS,Woodward NP,Neg
16,George Washington VS,ADL KY,Neg
17,Pace WE,St Ignatius GaGo,Neg
18,New Trier HY,Wylie E. Groves PS,Neg
19,New Trier HJ,St Ignatius FK,Aff
20,Glenbrook North CR,Taipei American LC,Aff
21,Berkeley Prep LG,St Mark's School of Texas LL,Aff
22,Arizona College Prep AS,Johns Creek VG,Neg
23,Northview NL,Univ Of Chicago Lab LJ,Aff
24,Gunn Independent KB,New Trier SW,Neg
25,Carrollton School of the Sacred Heart JF,Wylie E. Groves XC,Neg
