,Aff,Neg,Win
0,Berkeley Prep LS,Montgomery Bell LS,Neg
1,Berkeley Prep NY,Montgomery Bell TB,Neg
2,Calvert Hall ST,Little Rock Central GT,Aff
3,Westminster VZ,Berkeley Prep RV,Aff
4,Lexington HW,Montgomery Bell SJ,Neg
5,Peninsula BB,Johns Creek VG,Neg
6,Marist CL,Montgomery Bell DP,Neg
7,Westminster PL,Montgomery Bell RP,Neg
8,Peninsula LiLi,Alpharetta MM,Neg
9,Pace WE,Alpharetta DL,Aff
10,Alpharetta CR,Peninsula WY,Neg
11,Lexington DS,Montgomery Bell RS,Aff
12,Alpharetta IN,Peninsula LY,Aff
13,Lexington HS,Hawken LK,Neg
14,Calvert Hall CH,Montgomery Bell RW,Aff
15,Berkeley Prep LL,Hawken KZ,Aff
16,McDonogh SP,Westminster HY,Neg
17,NSU AY,Alpharetta GM,Aff
18,Little Rock Central LW,Montgomery Bell KF,Aff
19,NSU BL,Pace MG,Neg
20,Lexington LM,Little Rock Central BW,Aff
21,Pace KG,Little Rock Central BF,Aff
