,Aff,Neg,Win
0,Blue Valley North CT,Blue Valley West BT,Aff
1,Blue Valley North PN,Crossings Christian SP,Neg
2,Blue Valley West CR,Blue Valley North LP,Neg
3,Lawrence Free State FH,Blue Valley West MC,Aff
4,Shawnee Mission South KC,Hayden BG,Neg
5,Manhattan BB,Crossings Christian LM,Neg
6,Blue Valley North MM,Olathe East DG,Neg
7,Shawnee Mission East LT,Olathe East SR,Aff
8,Buhler BL,Maize CL,Neg
9,Blue Valley West BW,Mill Valley HK,Aff
10,Shawnee Mission South AZ,Wichita Southeast SK,Aff
11,Blue Valley Southwest PC,Blue Valley TF,Aff
12,Blue Valley North BK,Lawrence Free State HF,Aff
13,Blue Valley West SV,Blue Valley Southwest DT,Neg
14,Manhattan TF,Blue Valley West JA,Neg
15,Manhattan AS,Blue Valley West WA,Neg
16,Wichita East KZ,Manhattan HW,Aff
17,Newton KN,Shawnee Mission South MJ,Aff
18,Lawrence Free State EP,Mill Valley FP,Aff
