,Aff,Neg,Win
0,Georgetown Day MX,Newark Science AO,Neg
1,Georgetown Day WR,BASIS DC AP,Aff
2,Georgetown Day DX,Baltimore City MW,Aff
3,Mamaroneck MS,Brooklyn Technical JL,Neg
