,Aff,Neg,Win
0,George Washington JZ,ADL KY,Neg
1,Taipei American HW,NSU AY,Neg
2,Solorio MA,St Mark's School of Texas LL,Neg
3,St Mark's School of Texas HD,Woodward NP,Neg
4,St Mark's School of Texas GD,Taipei American LC,Neg
5,Solorio SM,Berkeley Prep SS,Neg
6,Solon CN,NSU AC,Aff
7,Carrollton School of the Sacred Heart JF,New Trier HY,Neg
8,Johns Creek VG,Isidore Newman CE,Aff
9,Glenbrook North SS,Berkeley Prep LG,Neg
10,George Washington MR,BASIS Peoria JG,Neg
11,Woodward HY,New Trier HJ,Neg
12,Pace WE,Unionville KH,Aff
13,George Washington PA,Pace NS,Neg
14,Wylie E. Groves XC,St Mark's School of Texas JP,Aff
15,Glenbrook North CR,Parkrose HG,Neg
16,Yerba Buena QN,Pace MG,Aff
17,USN CR,George Washington VS,Neg
18,Gunn Independent KB,Univ Of Chicago Lab LJ,Aff
19,Taipei American YT,Woodward MP,Neg
20,St Ignatius FK,Woodward AH,Aff
21,Madison Central AW,Solorio TG,Neg
22,George Washington MB,NSU BL,Aff
23,Wylie E. Groves PS,Franklin PS,Neg
24,New Trier SW,Northview NL,Aff
25,Arizona College Prep AS,Woodward TJ,Neg
