,Aff,Neg,Win
0,Northstar Academy HS - Newark AM,McDonogh SP,Neg
1,Brooklyn Technical GA,Georgetown Day HG,Aff
2,Lexington PS,Stuyvesant DE,Neg
3,Bronx Science HP,Mamaroneck AT,Aff
4,Stuyvesant SK,Northstar Academy HS - Newark YQ,Aff
5,Success Academy HSLA-MANHATTAN LP,Lexington HS,Neg
6,Lexington DS,Isidore Newman JN,Aff
7,Northstar Academy HS - Newark MA,Georgetown Day GX,Aff
8,Georgetown Day GK,Calvert Hall HT,Aff
9,Mamaroneck RW,Brooklyn Technical CS,Neg
10,Calvert Hall AJ,Lexington JV,Aff
11,Brooklyn Technical OS,Stuyvesant FW,Aff
12,McDonogh KL,Northstar Academy HS - Newark KS,Aff
13,Pittsburgh Central Catholic AH,Willamette LB,Aff
14,Stuyvesant DV,Brooklyn Technical JL,Neg
15,Mamaroneck MS,Stuyvesant SP,Aff
16,Brooklyn Technical RC,Lexington WH,Neg
17,Northstar Academy HS - Newark AA,Bronx Science AX,Aff
18,Newark Tech OB,McDonogh VB,Aff
19,Collegiate AS,Lexington LM,Neg
20,Success Academy HSLA-MANHATTAN WP,Mamaroneck CF,Aff
21,Mamaroneck MT,College Prep JG,Neg
22,George Washington MR,Calvert Hall SW,Aff
23,Georgetown Day MT,Mamaroneck GA,Neg
24,Collegiate FK,McDonogh OB,Aff
25,Brooklyn Technical GH,Georgetown Day DX,Neg
26,Mamaroneck MK,Newark Science OO,Neg
27,Success Academy HSLA-MANHATTAN AB,Newark Science AO,Neg
28,McDonogh CM,Lexington DS,Aff
29,Georgetown Day KN,Stuyvesant WN,Aff
30,Newark Tech MR,Willamette PB,Neg
31,Georgetown Day WR,Unionville HK,Neg
32,NSU AY,George Washington PA,Aff
