,Aff,Neg,Win
0,Bellarmine  CG,Green Canyon OZ,Neg
1,Brophy SH,New Trier HJ,Neg
2,Bellarmine  OL,New Trier SY,Aff
3,Rowland Hall SC,Arizona  SS,Aff
4,Westlake SB,Archbishop Mitty TW,Neg
5,Bellarmine  RH,Barstow GH,Neg
6,West HS SLC JS,Meadows HK,Aff
7,Park City LL,Brophy PP,Neg
8,College Prep EN,Rowland Hall UV,Neg
9,Park City SC,Bay Area Independent PL,Neg
10,Archbishop Mitty DS,Sacred Heart Cathedral Prep CB,Neg
11,Bellarmine  IB,Barstow BS,Neg
12,Meadows KR,Santa Fe Prep LV,Aff
13,Sacred Heart Cathedral Prep FY,New Trier PH,Neg
14,Rowland Hall LD,Brophy SR,Aff
15,Corner Canyon DK,BASIS Peoria HD,Aff
16,New Trier MP,Barstow TM,Aff
17,Meadows GK,BASIS Peoria JG,Aff
18,West HS SLC KA,Meadows KS,Aff
