,Aff,Neg,Win
0,Boston Latin LL,McDonogh KL,Neg
1,Eleanor Roosevelt AA,Bronx Science BD,Aff
2,Success Academy HSLA-MANHATTAN AB,Somerville KS,Aff
3,Eliot Hine TT,Banneker YG,Neg
4,Eleanor Roosevelt NM,SWW DP,Neg
5,Fenway MH,Bronx Science BG,Aff
6,Ruth Batson FN,Bronx Science NN,Aff
7,BASIS DC CM,SWW NN,Aff
8,Bronx Science CG,McDonogh SP,Neg
9,Bronx Science ML,Unionville Independent KH,Neg
10,Bronx Science SC,BASIS DC TD,Neg
11,BASIS DC AS,Georgetown Day MX,Aff
12,Georgetown Day GG,Banneker DT,Neg
13,Newark Science OO,Georgetown Day KN,Aff
14,Lexington SiDa,Newark Tech OB,Aff
15,Baltimore City PM,Bronx Science CF,Aff
16,Lexington XB,Somerville WC,Aff
17,Poly Prep Country Day BL,Success Academy HSLA-MANHATTAN WO,Neg
18,Northstar Academy HS - Newark YQ,Georgetown Day HL,Neg
19,Brooklyn Technical HS Independent GS,Collegiate FP,Aff
20,Banneker BM,Bronx Science OA,Neg
21,Lexington NS,Bronx Science HP,Aff
22,Lexington KB,Forest Park AF,Aff
23,Brooklyn Technical HS Independent CR,Baltimore City MW,Neg
24,Lexington WH,Calvert Hall JS,Aff
25,DC International RG,Banneker ST,Neg
26,DC International HW,BASIS DC PP,Neg
27,Northstar Academy HS - Newark AM,Collegiate FT,Aff
28,Lexington DS,Duke Ellington SO,Aff
29,Georgetown Day WR,Success Academy HSLA-MANHATTAN WP,Neg
