,Aff,Neg,Win
0,Farmington CN,Iowa City LL,Aff
1,Peninsula LS,New Trier CS,Neg
2,Berkeley Prep GN,Ronald Reagan TR,Neg
3,Kenwood BH,New Trier HJ,Neg
4,Edina AC,Newark Science AO,Neg
5,Peninsula PY,Greenhill MO,Neg
6,St Paul Central EB,Rosemount GM,Aff
7,Head-Royce DW,Eagan TN,Aff
8,Alpharetta NI,Peninsula EW,Aff
9,Taipei American CH,Alpharetta KB,Neg
10,Solorio MC,Rosemount SR,Aff
11,Canyon Crest ZZ,Pace GM,Neg
12,Peninsula DK,Taipei American YL,Neg
13,Eagan WW,St Paul Central BM,Neg
14,Head-Royce AP,Greenhill CL,Aff
15,St Paul Central WC,Edina LA,Aff
16,Baltimore City MW,Lexington WH,Neg
17,Eagan MS,Farmington AS,Neg
18,Eagan SW,La Crosse Central BK,Aff
19,Greenhill BH,Kenwood SW,Neg
20,Johns Creek GV,St Paul Central MC,Aff
21,Tartan HJ,Peninsula LW,Neg
22,Rosemount AP,Ronald Reagan CD,Aff
23,New Trier MP,Sonoma KY,Neg
24,Peninsula JS,Pace EW,Neg
25,New Trier HW,McDonogh SP,Neg
26,Peninsula LiLi,St Paul Central UB,Neg
27,Mamaroneck MS,Bronx Science BG,Aff
28,Greenhill AJ,Alpharetta MM,Neg
29,Edina BT,Thomas Kelly MG,Aff
30,Mamaroneck MK,Bronx Science CG,Neg
31,Rosemount PY,Sonoma PM,Neg
32,Berkeley Prep LL,Unionville HK,Aff
33,Montgomery Bell MM,Minneapolis South WB,Aff
34,Edina SK,Bronx Science CF,Neg
35,Mamaroneck RW,Canyon Crest CL,Neg
36,Peninsula BY,New Trier NH,Neg
37,Farmington KN,Wayzata KJ,Aff
38,Berkeley Prep KN,Tartan PM,Aff
39,Kenwood PW,Rufus King MB,Neg
40,Berkeley Prep GS,Baltimore City HP,Aff
41,Mamaroneck GA,Berkeley Prep NY,Neg
42,Lexington LM,Bronx Science EK,Aff
43,Thomas Edison AB,Eagan HR,Neg
44,St Paul Central NL,Solorio SM,Neg
45,Mamaroneck MT,Lexington DS,Aff
