,Aff,Neg,Win
0,Meadows SK,Casady SS,Aff
1,Peninsula JS,Barstow BM,Neg
2,Peninsula FL,Damien-St. Lucy's RS,Aff
3,Meadows CK,Peninsula PY,Neg
4,Niles West RK,Notre Dame DP,Neg
5,Damien-St. Lucy's PP,Rowland Hall CU,Aff
6,Damien-St. Lucy's JC,Meadows RK,Aff
7,Damien-St. Lucy's GI,Brophy SH,Neg
8,Damien-St. Lucy's KN,Peninsula ZZ,Aff
9,Damien-St. Lucy's MO,Notre Dame BC,Neg
10,Brophy PP,Notre Dame NP,Neg
11,Rowland Hall GH,Peninsula LW,Aff
12,Notre Dame DuPi,Rowland Hall DL,Aff
13,Peninsula EW,Niles West SS,Neg
14,Canyon Crest CL,Casady FJ,Aff
15,Niles West VK,Peninsula TW,Aff
16,Damien-St. Lucy's DG,Canyon Crest CS,Neg
17,Peninsula DY,Damien-St. Lucy's CM,Neg
18,Notre Dame AV,Peninsula BB,Aff
19,Oak Ridge AH,Peninsula LiLi,Neg
