,Aff,Neg,Win
0,Glenbrook North FP,Carrollton School of the Sacred Heart MG,Aff
1,Pace KG,Niles North ChSh,Neg
2,Solorio MC,McDonogh SP,Neg
3,Northside  GL,Pine Crest RR,Aff
4,Northside  WP,Cathryn Gorman Independent CG,Aff
5,New Trier ArSh,Glenbrook South PB,Neg
6,Green Canyon OZ,Glenbrook South CF,Neg
7,Solon CN,Kenwood PW,Aff
8,Lane Tech  GS,Hawken LK,Neg
9,Iowa City CV,Montgomery Bell LS,Neg
10,Whitney Young SP,Northside  AD,Neg
11,New Trier CT,Solorio VC,Aff
12,Niles North HD,Northside  GT,Aff
13,New Trier PY,Kenwood BH,Neg
14,Avery Coonley FB,Niles West SS,Neg
15,Niles North CS,Walter Payton BR,Aff
16,Woodward AH,Carrollton School of the Sacred Heart JF,Neg
17,New Trier AS,Berkeley Prep LL,Neg
18,Montgomery Bell TB,Berkeley Prep RV,Neg
19,St Ignatius GG,Glenbrook North SY,Neg
20,Barstow BM,Lane Tech  KS,Aff
21,Herbert Henry Dow CC,New Trier HY,Neg
22,Solon GH,Liberal Arts and Science BF,Neg
23,St Ignatius FK,Niles West RK,Aff
24,Berkeley Prep LZ,Opus CC,Aff
25,Liberal Arts and Science VA,Okemos DT,Aff
26,Berkeley Prep RG,Mamaroneck MP,Neg
27,Univ Of Chicago Lab LL,Kenwood TW,Aff
28,Northside  OS,New Trier SW,Aff
29,Westminster VZ,Niles North KM,Neg
30,Liberal Arts and Science LiRa,Berkeley Prep SS,Aff
31,Northview TC,Montgomery Bell RP,Aff
32,Barstow SH,Carrollton School of the Sacred Heart RG,Aff
33,Glenbrook North WK,Woodward NP,Neg
34,Glenbrook North CL,Maine East GR,Neg
35,Wylie E. Groves XC,Liberal Arts and Science LR,Neg
36,Whitney Young BM,New Trier PH,Aff
37,Glenbrook South MM,Woodward CM,Neg
38,Denmark Independent BL,New Trier HJ,Aff
39,Mamaroneck FC,Westminster HY,Aff
40,Niles West VK,Mamaroneck MT,Neg
41,Glenbrook North CR,Johns Creek VG,Aff
42,Minneapolis South WB,Glenbrook North CiRi,Aff
43,Liberal Arts and Science CK,Montgomery Bell RF,Aff
44,Hawken KZ,Lane Tech  CJ,Aff
45,New Trier MP,Lane Tech  ZQ,Aff
46,Univ Of Chicago Lab SJ,Northview TN,Neg
47,Maine East AJ,Lane Tech  RN,Aff
48,Berkeley Prep NY,Glenbrook South KZ,Neg
49,Northside  AV,Kenwood SW,Neg
50,Mamaroneck AG,Montgomery Bell SJ,Aff
51,Iowa City LL,Hawken LS,Aff
52,Niles North GW,Northside  DT,Aff
53,University OM,Whitney Young SW,Aff
