,Aff,Neg,Win
0,Peninsula JS,Notre Dame AM,Neg
1,College Prep BA,Meadows KG,Aff
2,Peninsula DY,Damien-St. Lucy's PP,Neg
3,Peninsula KK,Sonoma KY,Aff
4,Quarry Lane CA,Peninsula PY,Aff
5,Quarry Lane AM,Brophy PP,Aff
6,Peninsula LiLi,Head-Royce DW,Neg
7,Polytechnic TK,Peninsula KX,Neg
