,Aff,Neg,Win
0,Park City LS,George Washington PA,Neg
1,George Washington MR,College Prep NS,Aff
2,Notre Dame DP,College Prep AB,Neg
3,George Washington MB,West HS SLC JS,Neg
4,College Prep BT,Park City LC,Aff
5,Sonoma PB,Salem Hills DD,Neg
6,Green Canyon OZ,Fort Collins FY,Neg
7,Rowland Hall LD,George Washington JZ,Aff
8,Alta CL,Green Canyon EH,Aff
9,Corner Canyon DK,Notre Dame AM,Neg
10,Notre Dame BC,College Prep JG,Aff
11,George Washington VS,Barstow TM,Neg
12,Notre Dame DN,Barstow GH,Aff
13,College Prep JT,Rowland Hall UV,Aff
14,Head-Royce DW,Sonoma YK,Neg
15,Sonoma KB,Meadows KK,Neg
16,Rowland Hall HG,Notre Dame GM,Aff
17,Sonoma LM,West HS SLC KA,Aff
18,Fort Collins CI,Rowland Hall SC,Neg
19,Barstow BS,Head-Royce AP,Neg
