,Aff,Neg,Win
0,Dulles CI,Greenhill SB,Aff
1,Jesuit PL,Liberal Arts and Science BV,Neg
2,Athens TS,Sonoma MM,Neg
3,Athens RH,Sonoma YK,Aff
4,Quarry Lane PS,Greenhill BH,Neg
5,Olathe North CF,St Mark's School of Texas TK,Aff
6,Washburn Rural CN,Dallas Highland Park GZ,Aff
7,Liberal Arts and Science BS,Westwood BA,Aff
8,Montgomery Bell HM,Peninsula KX,Aff
9,Westwood YS,Liberal Arts and Science LM,Neg
10,Washburn Rural CH,Westwood LU,Neg
11,Heritage Hall HH,Coppell TB,Neg
12,Westwood SG,New Trier HJ,Aff
13,Westwood GK,St Mark's School of Texas JP,Neg
14,Blue Valley Southwest PC,New Trier SW,Aff
15,Sonoma LM,Blue Valley Southwest DT,Neg
16,Westwood SA,Montgomery Bell TB,Aff
17,Westwood ST,Heritage Hall CD,Aff
18,Quarry Lane AM,Dallas Highland Park BC,Aff
19,Greenhill MO,Peninsula LL,Neg
20,Montgomery Bell RP,Johns Creek VG,Aff
21,Montgomery Bell LS,Pace MG,Aff
22,Winston Churchill MP,Montgomery Bell KF,Neg
23,Liberal Arts and Science CK,Greenhill AJ,Aff
24,St Mark's School of Texas BL,Woodward TJ,Aff
25,Little Rock Central TN,Quarry Lane AC,Neg
26,New Trier HY,Woodward NP,Neg
27,New Trier PH,Coppell SJ,Neg
28,Woodward CM,Greenhill CL,Neg
29,Pace EK,Melissa TN,Aff
30,St Mark's School of Texas GD,Sonoma BS,Neg
31,Montgomery Bell SJ,Liberal Arts and Science LR,Aff
