,Aff,Neg,Win
0,Hayden BG,Lawrence Free State EP,Aff
1,Mill Valley HK,Olathe East SR,Aff
2,Blue Valley West CR,Manhattan HW,Neg
3,Maize CL,Olathe East DG,Aff
4,Blue Valley TF,Crossings Christian SP,Aff
5,Blue Valley North PN,Blue Valley West JA,Aff
6,Blue Valley Southwest PC,Shawnee Mission South AZ,Aff
7,Blue Valley West MC,Manhattan BB,Aff
8,Wichita East KZ,Blue Valley West SV,Neg
9,Manhattan TF,Mill Valley FP,Aff
10,Shawnee Mission West WS,Crossings Christian LM,Neg
11,Shawnee Mission East LT,Newton KN,Aff
12,Blue Valley North BK,Lawrence Free State FH,Neg
13,Blue Valley North LP,Blue Valley West WA,Aff
14,Blue Valley North MM,Blue Valley West BT,Neg
15,Blue Valley Southwest DT,Shawnee Mission South MJ,Aff
16,Lawrence Free State HF,Buhler BL,Aff
17,Blue Valley North CT,Blue Valley West BW,Neg
18,Shawnee Mission South KC,Manhattan AS,Neg
