,Aff,Neg,Win
0,Brophy PP,Bellarmine  CG,Neg
1,Arizona  SS,College Prep EN,Neg
2,New Trier PH,Park City SC,Aff
3,Archbishop Mitty MR,West HS SLC KA,Aff
4,Santa Fe Prep LV,Brophy SH,Neg
5,Meadows KS,Sacred Heart Cathedral Prep FY,Neg
6,Bay Area Independent PL,New Trier MP,Neg
7,BASIS Peoria JG,Bellarmine  OL,Neg
8,Archbishop Mitty TW,Bellarmine  RH,Neg
9,New Trier HJ,Archbishop Mitty DS,Aff
10,New Trier SY,Corner Canyon DK,Aff
11,Meadows HK,Rowland Hall SC,Neg
12,Barstow TM,Meadows KR,Aff
13,Barstow BS,Rowland Hall LD,Aff
14,BASIS Peoria HD,Westlake SB,Neg
15,Brophy SR,Meadows GK,Neg
16,Barstow GH,West HS SLC JS,Neg
17,Sacred Heart Cathedral Prep CB,Park City LL,Aff
18,Rowland Hall UV,Bellarmine  IB,Aff
