,Aff,Neg,Win
0,St Andrew's Episcopal AK,Georgetown Day RW,Neg
1,Glenbrook North SY,Westminster PL,Neg
2,North Atlanta RC,New Trier MP,Neg
3,Greenhill CL,Canyon Crest LC,Aff
4,Little Rock Central BG,Johns Creek VG,Neg
5,Peninsula LL,Minneapolis South WB,Aff
6,Eastside HS,Woodward NP,Neg
7,Berkeley Prep RV,Peninsula DY,Neg
8,Carrollton School of the Sacred Heart JF,Decatur RC,Aff
9,Glenbrook South BW,Georgetown Day MX,Aff
10,Taipei American YM,Berkeley Prep LZ,Neg
11,Westwood BA,Head-Royce DW,Aff
12,Carrollton School of the Sacred Heart MG,Melissa TN,Neg
13,NSU BL,Woodward CM,Neg
14,Head-Royce AP,Greenhill AJ,Aff
15,Galloway DP,Collegiate FK,Aff
16,Northview TC,Liberal Arts and Science RL,Aff
17,Northview BT,Montgomery Bell LS,Neg
18,Liberal Arts and Science BF,Westminster VZ,Aff
19,Marist CL,Jesuit LR,Neg
20,Liberal Arts and Science BS,Sonoma YK,Aff
21,Damien-St. Lucy's SM,Bronx Science GC,Aff
22,Montgomery Bell HM,Pace MG,Aff
23,Maine East GR,Alpharetta KB,Aff
24,Overland Park North Independent PS,Jesuit HB,Aff
25,Caddo Magnet BA,Baltimore City MW,Neg
26,Rural Independent CN,Winston Churchill MP,Aff
27,Lexington LM,Eastside SC,Aff
28,Pace WE,Baltimore City PM,Neg
29,Bronx Science ZF,Coppell SJ,Neg
30,New Trier HW,Pittsburgh Central Catholic HS,Aff
31,Northside  AD,Brophy PP,Neg
32,Little Rock Central LW,Taipei American HC,Neg
33,L C Anderson SW,Lexington DS,Aff
34,Carrollton School of the Sacred Heart RG,Glenbrook South KZ,Neg
35,New Trier PH,Caddo Magnet PM,Aff
36,Newark Science AO,Alpharetta IN,Aff
37,Greenhill MO,Westwood SG,Neg
38,Denmark BR,Westminster HY,Aff
39,College Prep AB,Poly Prep Country Day BB,Aff
40,Westwood SA,Lexington HW,Neg
41,Little Rock Central TN,Alpharetta MM,Neg
42,Niles North CS,Notre Dame DN,Aff
43,Poly Prep Country Day LB,Niles North MK,Neg
44,Mamaroneck FC,Glenbrook North FP,Neg
45,Berkeley Prep NY,Dallas Highland Park BC,Neg
46,Caddo Magnet VA,Niles North SP,Neg
47,Kenwood SW,Collegiate AS,Aff
48,Canyon Crest CS,Georgetown Day DX,Neg
49,Woodward TJ,Mamaroneck AG,Aff
50,Glenbrook North CR,McDonogh SP,Aff
51,Mamaroneck MS,Notre Dame MD,Neg
52,Glenbrook North CiRi,Montgomery Bell SJ,Neg
53,Isidore Newman JN,Whitney Young BM,Neg
54,Glenbrook South MP,Northview NL,Aff
55,Notre Dame BC,Pace KG,Neg
