,Aff,Neg,Win
0,Farmington CN,Northside  LP,Aff
1,Washington DB,Niles North CG,Neg
2,Glenbrook North SY,Washington AZ,Aff
3,Glenbrook South MM,Northside  AV,Aff
4,Northside  GO,Maine East SJ,Aff
5,Glenbrook South FB,Glenbrook North FP,Neg
6,Whitney Young BM,Niles North SP,Neg
7,Glenbrook North CR,Niles North GW,Aff
8,Niles West BE,Whitney Young DM,Neg
9,Maine East GR,Niles West SS,Neg
10,Walter Payton YY,Iowa City CR,Neg
11,Northside  CX,Glenbrook North DK,Aff
12,Minneapolis South SW,Northside  AD,Aff
13,Glenbrook North CiRi,Walter Payton BR,Neg
14,Iowa City LL,Niles North CS,Neg
15,Glenbrook South PC,La Crosse Central YL,Neg
16,Millard North WG,Farmington KN,Neg
17,Glenbrook South KZ,Iowa City Liberty HV,Aff
18,Whitney Young SP,Niles North KM,Aff
19,Newton NK,Niles North MK,Neg
20,Northside  GT,Glenbrook North CL,Neg
