,Aff,Neg,Win
0,Calvert Hall SW,Peninsula EW,Aff
1,Fenway HM,Pine Crest CT,Neg
2,Pine Crest AE,Mamaroneck SW,Neg
3,Boston Latin LL,Banneker GY,Aff
4,Weequahic SG,SWW WP,Neg
5,Weequahic BH,BASIS DC AS,Neg
6,Boston Latin PA,Peninsula LL,Neg
7,BASIS DC MC,Prospect Hill Academy Charter GR,Aff
8,John D. O'Bryant School Of Mathematics And Science BM,Newark Science AO,Neg
9,Northstar Academy HS - Newark QY,Eleanor Roosevelt NM,Aff
10,Georgetown Day KN,Bronx Science GC,Neg
11,McDowell LJ,Georgetown Day GG,Aff
12,Mamaroneck WR,Pine Crest GG,Aff
13,Newark Science LA,NSU AC,Aff
14,BASIS DC PD,Somerville SK,Aff
15,Mamaroneck MK,Forest Park AF,Aff
16,AHS @PGCC MR,Somerville CU,Neg
17,Mamaroneck MP,Newark Tech BO,Aff
18,Duke Ellington SO,Eleanor Roosevelt AA,Neg
19,Georgetown Day MX,NSU AY,Aff
20,Poly Prep BB,Peninsula KK,Neg
21,Weequahic GO,NSU BL,Neg
22,Wylie E. Groves XC,Somerville CM,Aff
23,Ruth Batson FN,Bronx Science OZ,Neg
24,Mamaroneck MT,Newark Science OO,Aff
25,SWW DP,Success Academy HSLA-MANHATTAN WO,Neg
26,Bronx Science EK,Banneker BM,Aff
27,Success Academy HSLA-MANHATTAN LP,Eliot Hine TT,Aff
28,Somerville MW,Northstar Academy HS - Newark AM,Neg
29,Bronx Science AL,BASIS DC TP,Aff
30,Calvert Hall HT,Poly Prep LB,Aff
