,Aff,Neg,Win
0,New Trier SY,Bellarmine  DD,Neg
1,Montgomery Bell SL,Berkeley Prep LZ,Aff
2,Greenhill CL,Montgomery Bell SJ,Neg
3,Blue Valley Southwest PC,Montgomery Bell TB,Aff
4,Montgomery Bell HM,Greenhill BH,Aff
5,Solorio TG,Barstow OT,Neg
6,Northside  AS,Little Rock Central BW,Aff
7,Northview LN,Carrollton School of the Sacred Heart KL,Aff
8,Bellarmine  AQ,Northview CT,Neg
9,Washburn Rural CH,Blue Valley North PS,Neg
10,Barstow GK,Galloway DP,Aff
11,Woodward PN,Jesuit LR,Aff
12,Lexington LM,Little Rock Central LW,Neg
13,Montgomery Bell KR,Lexington DS,Aff
14,Carrollton School of the Sacred Heart GB,Woodward JT,Neg
15,Glenbrook South WB,Glenbrook North CR,Aff
16,Liberal Arts and Science BV,Niles North MK,Aff
17,Wylie E. Groves XC,Liberal Arts and Science RL,Neg
18,Peninsula LL,Pace GM,Neg
19,Shawnee Mission East PL,Quarry Lane CA,Aff
20,Sonoma KY,Woodward CM,Neg
21,Eastside HS,Univ Of Chicago Lab LL,Neg
22,Peninsula KX,Berkeley Prep LS,Aff
23,Berkeley Prep RG,Liberal Arts and Science BS,Neg
24,Berkeley Prep NY,Quarry Lane PS,Aff
25,Niles North SP,Washburn Rural CN,Neg
26,Berkeley Prep RV,Glenbrook South KZ,Aff
27,Niles North CS,Lexington WH,Neg
28,Blue Valley North CT,NSU EY,Neg
