,Aff,Neg,Win
0,Glenbrook North HW,Glenbrook South MP,Neg
1,Minneapolis South WB,Von Steuben GL,Aff
2,Peninsula LL,Maine East GR,Aff
3,Liberal Arts and Science LM,Greenhill CL,Neg
4,Maine East UH,Whitney Young BM,Neg
5,Walter Payton MG,Peninsula PY,Neg
6,New Trier HJ,Washburn Rural CN,Neg
7,Washburn Rural CH,Peninsula KK,Neg
8,Niles North MK,Glenbrook North CL,Aff
9,Univ Of Chicago Lab LL,Solorio TG,Aff
10,Glenbrook South CP,Liberal Arts and Science BS,Neg
11,Niles North HD,Glenbrook South BF,Neg
12,New Trier AS,Glenbrook South MM,Neg
13,Peninsula DY,New Trier AnSt,Aff
14,Glenbrook South KZ,Thomas Kelly MG,Aff
15,Glenbrook North CR,Von Steuben ML,Aff
16,Jesuit BP,Glenbrook North CiRi,Neg
17,Univ Of Chicago Lab EJ,Glenbrook North FP,Neg
18,Liberal Arts and Science BF,Jones HB,Aff
19,Walter Payton BR,Northside  OS,Neg
20,New Trier PY,Glenbrook South WB,Neg
21,Glenbrook North DK,Liberal Arts and Science LR,Neg
22,Niles North GH,Kenwood SW,Neg
23,Niles North GW,New Trier MP,Neg
24,New Trier HP,Maine East JW,Aff
25,Von Steuben LM,Solorio MC,Aff
26,Northside  AD,Goode STEM CM,Aff
27,Niles North CS,Glenbrook North SY,Aff
