,Aff,Neg,Win
0,USN CR,Carrollton School of the Sacred Heart JF,Neg
1,Clear Springs SG,Alpharetta GM,Aff
2,Northwood ZY,Glenbrook North SS,Aff
3,Okemos DT,Quarry Lane AM,Neg
4,Quarry Lane PS,Damien-St. Lucy's DL,Neg
5,Denmark BR,Quarry Lane HG,Neg
6,Westminster GS,Northwood BC,Neg
7,Woodward PR,Northwood SS,Neg
8,Westminster HY,ADL DC,Aff
9,St Mark's School of Texas JP,Franklin PS,Aff
10,Johns Creek VG,ADL WL,Aff
11,Marist AC,Northview LT,Neg
12,Quarry Lane YY,Parkrose HG,Aff
13,Green Canyon OZ,BASIS San Antonio Shavano NR,Neg
14,Woodward CS,Liberal Arts and Science LR,Neg
15,Damien-St. Lucy's IG,Woodward AH,Neg
16,Damien-St. Lucy's KN,Westminster VZ,Neg
17,BASIS San Antonio Shavano PK,Damien-St. Lucy's LW,Neg
18,Damien-St. Lucy's MO,Eagan WW,Neg
19,Heights CM,Woodward TJ,Neg
20,Alpharetta MM,Glenbrook North DK,Aff
21,Northview NL,Quarry Lane KP,Neg
22,Alpharetta IN,James Logan GS,Aff
23,Marist AR,Alpharetta CR,Neg
24,Northwood AG,Winston Churchill MP,Neg
25,Quarry Lane AC,Alpharetta DL,Aff
