,Aff,Neg,Win
0,Heritage Hall CD,Westwood YS,Neg
1,Sonoma YK,St Mark's School of Texas BL,Aff
2,Montgomery Bell KF,Westwood GK,Neg
3,Pace MG,St Mark's School of Texas TK,Aff
4,Coppell SJ,Montgomery Bell HM,Neg
5,Montgomery Bell TB,Washburn Rural CH,Aff
6,Dallas Highland Park BC,Westwood SA,Neg
7,Blue Valley Southwest PC,Sonoma MM,Aff
8,Athens RH,Peninsula LL,Neg
9,Pace EK,Quarry Lane AM,Neg
10,New Trier SW,Montgomery Bell RP,Neg
11,Westwood SG,Sonoma LM,Aff
12,New Trier HY,St Mark's School of Texas JP,Neg
13,New Trier HJ,Westwood BA,Neg
14,Athens TS,Quarry Lane PS,Neg
15,Peninsula KX,Dulles CI,Aff
16,Jesuit PL,Sonoma BS,Aff
17,Blue Valley Southwest DT,Woodward NP,Neg
18,Montgomery Bell LS,Liberal Arts and Science LM,Aff
19,Quarry Lane AC,Dallas Highland Park GZ,Neg
20,Greenhill MO,Heritage Hall HH,Aff
21,Liberal Arts and Science CK,Greenhill CL,Neg
22,Washburn Rural CN,Little Rock Central TN,Aff
23,Winston Churchill MP,Liberal Arts and Science LR,Neg
24,Woodward CM,Olathe North CF,Aff
25,Liberal Arts and Science BV,Coppell TB,Aff
26,St Mark's School of Texas GD,Greenhill BH,Neg
27,Johns Creek VG,Melissa TN,Aff
28,Westwood ST,Greenhill AJ,Neg
29,Greenhill SB,New Trier PH,Neg
30,Westwood LU,Montgomery Bell SJ,Neg
31,Liberal Arts and Science BS,Woodward TJ,Aff
