,Aff,Neg,Win
0,Walter Payton YY,Maine East SJ,Aff
1,Glenbrook North SY,Northside  CX,Aff
2,Glenbrook South MM,Glenbrook North CL,Aff
3,Newton NK,Farmington CN,Neg
4,Glenbrook North DK,Washington DB,Aff
5,Iowa City CR,Niles West SS,Neg
6,Iowa City CH,Farmington KN,Neg
7,Niles North CG,Glenbrook South KZ,Neg
8,Niles North SP,Northside  GO,Neg
9,Whitney Young SP,Glenbrook North CR,Neg
10,Whitney Young BM,Niles North KM,Aff
11,Glenbrook South FB,La Crosse Central CT,Aff
12,Niles West BE,Glenbrook South PC,Neg
13,Glenbrook North CiRi,Maine East GR,Aff
14,Whitney Young DM,Washington AZ,Aff
15,Northside  AD,Millard North WG,Aff
16,Walter Payton BR,Niles North CS,Neg
17,Northside  GT,Glenbrook North FP,Neg
18,Iowa City Liberty HV,Northside  LP,Neg
19,Northside  AV,La Crosse Central YL,Neg
20,Niles North MK,Minneapolis South SW,Neg
21,Iowa City LL,Niles North GW,Neg
