,Aff,Neg,Win
0,Archbishop Mitty MR,Eagan WW,Aff
1,Northwood SY,Newark Science AO,Neg
2,Little Rock Central WK,Eagan MS,Neg
3,Little Rock Central BF,Northwood ZG,Neg
4,Clear Springs SG,Little Rock Central TB,Aff
5,St Andrew's Episcopal AK,Marist CL,Neg
6,Newark Science OO,Marist AR,Neg
7,Woodward CM,Peninsula DU,Neg
8,Little Rock Central LW,Caddo Magnet VA,Aff
9,Maine East JW,Westminster PL,Neg
10,Eagan HR,Pittsburgh Central Catholic AH,Aff
11,Caddo Magnet WB,Maine East RU,Aff
12,Okemos DT,Kinkaid AK,Aff
13,West HS SLC JS,Eagan TN,Aff
14,Whitney Young BM,Winston Churchill MP,Aff
15,Westminster VZ,Unionville KH,Aff
