,Aff,Neg,Win
0,Pace KG,Little Rock Central GT,Aff
1,Lexington HS,Peninsula LY,Neg
2,Montgomery Bell RS,Westminster PL,Neg
3,Lexington HW,Alpharetta MM,Aff
4,Lexington DS,Berkeley Prep NY,Neg
5,Peninsula WY,Calvert Hall CH,Aff
6,Peninsula LiLi,Calvert Hall ST,Aff
7,Montgomery Bell RW,Pace MG,Neg
8,Lexington LM,Peninsula BB,Aff
9,Little Rock Central BF,Hawken LK,Neg
10,Montgomery Bell DP,NSU AY,Neg
11,Johns Creek VG,Berkeley Prep LS,Neg
12,Montgomery Bell SJ,Westminster HY,Aff
13,Montgomery Bell RP,Little Rock Central LW,Aff
14,Montgomery Bell LS,Marist CL,Aff
15,McDonogh SP,Montgomery Bell TB,Neg
16,Berkeley Prep RV,Alpharetta GM,Aff
17,Pace WE,Little Rock Central BW,Aff
18,Montgomery Bell KF,NSU BL,Aff
19,Westminster VZ,Alpharetta IN,Aff
20,Alpharetta CR,Berkeley Prep LL,Aff
21,Hawken KZ,Alpharetta DL,Aff
