,Aff,Neg,Win
0,ADL SW,Avery Coonley TZ,Aff
1,Sharks Independent SW,ADL YD,Aff
2,Success Academy HSLA-HARLEM CD,Success Academy HSLA-MANHATTAN KY,Neg
3,Princeton AF,Northview LN,Neg
4,Woodward JN,University OM,Aff
5,ADL WC,Success Academy HSLA-MANHATTAN TR,Neg
6,Perry TD,Avery Coonley FN,Neg
7,New Trier HJ,Univ Of Chicago Lab LL,Aff
8,Pittsburgh Central Catholic HS,Montgomery Bell RF,Neg
9,Century WB,Taipei American HW,Neg
10,Sacred Heart Cathedral Prep BC,Blue Valley West VS,Neg
11,Sacred Heart Cathedral Prep FY,New Trier HW,Neg
12,Westminster HY,Quarry Lane KP,Aff
13,ASPEC KB,Westminster PL,Aff
14,VHTPA TN,Sidwell Independent VF,Neg
15,New Trier SY,VHTPA MH,Aff
16,St Mark's School of Texas JP,Galloway DP,Aff
17,Avery Coonley JS,ADL CW,Aff
18,St Mark's School of Texas DP,Central HS Springfield SS,Aff
19,Greenhill NS,Opus CC,Neg
20,Quarry Lane HG,Sacred Heart Cathedral Prep WX,Aff
21,VHTPA GR,Branson PW,Neg
22,Emerald HM,James Logan AA,Neg
23,ADL KW,Hill Country  VL,Aff
24,Brophy SH,Johns Creek GV,Neg
25,Sharks Independent OW,Fox Chapel Independent RL,Aff
26,New Trier PY,Solon HC,Neg
27,Westlake SB,Sharks Independent YL,Aff
28,Avery Coonley SS,ADL CC,Aff
29,ADL KC,Taipei American YM,Neg
30,Lowell CL,Wylie E. Groves XC,Neg
31,Woodward CP,New Trier MP,Neg
32,James Logan GS,Avery Coonley AT,Aff
33,Denmark Independent BT,Montgomery Bell HM,Neg
