,Aff,Neg,Win
0,Liberal Arts and Science BS,Westwood SA,Aff
1,Westwood BA,Liberal Arts and Science CK,Neg
2,Liberal Arts and Science VA,Coppell SJ,Neg
3,Greenhill CS,Athens RH,Aff
4,L C Anderson SW,Liberal Arts and Science RL,Aff
5,Liberal Arts and Science LM,Clear Springs SG,Aff
