,Aff,Neg,Win
0,Greenhill AJ,Northview TC,Neg
1,Caddo Magnet BA,New Trier HW,Neg
2,Woodward TJ,Georgetown Day MX,Neg
3,Poly Prep Country Day BB,Westwood SA,Neg
4,Peninsula DY,Canyon Crest LC,Aff
5,Bronx Science GC,Canyon Crest CS,Aff
6,Glenbrook North CR,Liberal Arts and Science RL,Aff
7,Carrollton School of the Sacred Heart RG,Collegiate FK,Neg
8,Lexington LM,Melissa TN,Aff
9,Peninsula LL,Kenwood SW,Aff
10,McDonogh SP,Minneapolis South WB,Aff
11,Dallas Highland Park BC,Baltimore City MW,Neg
12,Liberal Arts and Science BF,Overland Park North Independent PS,Aff
13,Woodward CM,Georgetown Day DX,Aff
14,Pace KG,Alpharetta IN,Aff
15,Damien-St. Lucy's SM,Pittsburgh Central Catholic HS,Aff
16,Mamaroneck MS,Galloway DP,Neg
17,Head-Royce DW,Notre Dame BC,Aff
18,Pace MG,Sonoma YK,Neg
19,Berkeley Prep RV,Whitney Young BM,Neg
20,Glenbrook South BW,Lexington HW,Aff
21,Lexington DS,Rural Independent CN,Aff
22,Westwood SG,Mamaroneck FC,Neg
23,Georgetown Day RW,Glenbrook North CiRi,Aff
24,Glenbrook South KZ,Niles North SP,Neg
25,Brophy PP,Montgomery Bell LS,Aff
26,NSU BL,Alpharetta KB,Neg
27,Glenbrook South MP,Niles North MK,Neg
28,Jesuit HB,Pace WE,Neg
29,Eastside HS,Northview BT,Neg
30,College Prep AB,Greenhill CL,Neg
31,Montgomery Bell HM,Little Rock Central LW,Aff
32,Caddo Magnet VA,Winston Churchill MP,Aff
33,Bronx Science ZF,Marist CL,Aff
34,Johns Creek VG,Coppell SJ,Neg
35,Montgomery Bell SJ,Westwood BA,Neg
36,Notre Dame MD,Westminster PL,Neg
37,Northside  AD,Niles North CS,Neg
38,New Trier MP,Newark Science AO,Aff
39,Northview NL,Greenhill MO,Neg
40,Poly Prep Country Day LB,Notre Dame DN,Neg
41,Westminster VZ,Taipei American HC,Aff
42,Little Rock Central TN,Baltimore City PM,Neg
43,L C Anderson SW,Berkeley Prep NY,Neg
44,Mamaroneck AG,Alpharetta MM,Aff
45,Taipei American YM,Eastside SC,Aff
46,North Atlanta RC,Caddo Magnet PM,Aff
47,Woodward NP,Jesuit LR,Neg
48,New Trier PH,Denmark BR,Neg
49,Glenbrook North SY,Collegiate AS,Neg
50,St Andrew's Episcopal AK,Carrollton School of the Sacred Heart MG,Neg
51,Head-Royce AP,Maine East GR,Aff
52,Isidore Newman JN,Decatur RC,Aff
53,Berkeley Prep LZ,Liberal Arts and Science BS,Neg
54,Little Rock Central BG,Glenbrook North FP,Neg
55,Westminster HY,Carrollton School of the Sacred Heart JF,Aff
