,Aff,Neg,Win
0,Lexington HS,Washington BD,Aff
1,Edina BL,Northside  KP,Neg
2,Maize CL,Edina TS,Aff
3,Niles North CR,Westminster PL,Neg
4,St Paul Central UB,Alpharetta GM,Neg
5,Edina AC,Niles North MK,Aff
6,St Paul Central BM,Edina BK,Neg
7,Branson PW,Minneapolis South WB,Aff
8,Interlake OW,Lexington KB,Aff
9,West HS SLC AK,Rowland Hall UL,Aff
10,Westminster VZ,Rowland Hall GH,Neg
11,Lexington NS,Interlake AW,Aff
12,Iowa City LL,Lexington DS,Neg
13,Northside  GT,Iowa City RC,Neg
14,Eagan TN,Northside  AD,Aff
15,Niles North HD,Farmington NS,Aff
16,Alpharetta NI,Interlake YL,Aff
17,Niles North SP,West HS SLC JS,Aff
18,Maine East GR,Edison Prep BB,Neg
19,Niles North CS,Alpharetta MM,Aff
20,Rowland Hall VD,Interlake SC,Aff
21,Iowa City HV,Farmington CN,Neg
22,Eagan MS,St Paul Central MC,Aff
