,Aff,Neg,Win
0,Montgomery Bell TB,Berkeley Prep NY,Neg
1,Montgomery Bell SJ,Lexington LM,Neg
2,Lexington WH,Montgomery Bell PR,Neg
3,Berkeley Prep RV,Montgomery Bell SL,Aff
