,Aff,Neg,Win
0,Peninsula LiLi,Damien-St. Lucy's PP,Neg
1,Rowland Hall CU,Oak Ridge AH,Neg
2,Brophy SH,Damien-St. Lucy's MO,Aff
3,Peninsula BB,Brophy PP,Neg
4,Damien-St. Lucy's RS,Peninsula EW,Neg
5,Canyon Crest CS,Damien-St. Lucy's KN,Neg
6,Casady SS,Peninsula FL,Neg
7,Damien-St. Lucy's CM,Notre Dame AV,Neg
8,Peninsula ZZ,Meadows CK,Aff
9,Niles West SS,Peninsula DY,Neg
10,Peninsula TW,Canyon Crest LC,Neg
11,Rowland Hall LD,Damien-St. Lucy's IG,Aff
12,Peninsula LW,Notre Dame DuPi,Neg
13,Notre Dame BC,Rowland Hall HG,Neg
14,Meadows KR,Damien-St. Lucy's DG,Neg
15,Notre Dame NP,Niles West VK,Aff
16,Casady FJ,Niles West RK,Aff
17,Peninsula PY,Damien-St. Lucy's JC,Aff
18,Notre Dame DP,Peninsula JS,Aff
19,Barstow BM,Meadows KS,Aff
