,Aff,Neg,Win
0,Greenhill BH,Montgomery Bell SJ,Aff
1,Johns Creek VG,Westwood GK,Aff
2,Dallas Highland Park BC,New Trier HY,Aff
3,Greenhill SB,St Mark's School of Texas GD,Aff
4,Liberal Arts and Science BV,Montgomery Bell LS,Neg
5,Sonoma BS,Pace EK,Neg
6,Sonoma MM,New Trier PH,Neg
7,Peninsula LL,Montgomery Bell RP,Aff
8,Greenhill AJ,Dulles CI,Neg
9,Woodward NP,Jesuit PL,Neg
10,St Mark's School of Texas JP,Liberal Arts and Science BS,Neg
11,Montgomery Bell TB,Greenhill MO,Aff
12,Westwood LU,Liberal Arts and Science CK,Neg
13,Coppell TB,St Mark's School of Texas BL,Aff
14,Peninsula KX,Blue Valley Southwest PC,Aff
15,Liberal Arts and Science LM,Woodward CM,Neg
16,Coppell SJ,Athens RH,Aff
17,Sonoma YK,Westwood ST,Aff
18,Woodward TJ,Little Rock Central TN,Neg
19,New Trier HJ,Washburn Rural CH,Aff
20,St Mark's School of Texas TK,Heritage Hall HH,Aff
21,Pace MG,Westwood SG,Aff
22,New Trier SW,Westwood YS,Aff
23,Liberal Arts and Science LR,Washburn Rural CN,Neg
24,Dallas Highland Park GZ,Quarry Lane PS,Neg
25,Blue Valley Southwest DT,Olathe North CF,Neg
26,Montgomery Bell KF,Westwood SA,Neg
27,Quarry Lane AC,Winston Churchill MP,Aff
28,Melissa TN,Sonoma LM,Neg
29,Heritage Hall CD,Athens TS,Neg
30,Westwood BA,Quarry Lane AM,Aff
31,Greenhill CL,Montgomery Bell HM,Aff
