,Aff,Neg,Win
0,Damien-St. Lucy's PP,Winston Churchill MP,Neg
1,Dallas Highland Park BC,Coppell SJ,Aff
2,Winston Churchill LR,Heritage Hall HC,Neg
3,Westwood SG,Barack Obama Male Leadership Academy (HS) VT,Aff
4,Westwood LU,George Washington VS,Neg
5,Damien-St. Lucy's KN,Liberal Arts and Science LM,Neg
6,Niles West KS,St Mark's School of Texas HD,Neg
7,Coppell TB,Liberal Arts and Science BF,Neg
8,L C Anderson SW,St Mark's School of Texas JB,Aff
9,Jesuit LR,Woodward TJ,Aff
10,Berkeley Prep RZ,Greenhill BC,Aff
11,Niles West SV,Lake Travis SO,Aff
12,Greenhill AX,George Washington MR,Neg
13,Little Rock Central TN,Westwood GK,Neg
14,Caddo Magnet VA,St Mark's School of Texas TK,Neg
15,Jesuit MW,Lovejoy PW,Neg
16,Berkeley Prep GS,Jenks HG,Neg
17,Winston Churchill LyRo,Dripping Springs BC,Neg
18,Dulles CI,Ronald Reagan FP,Neg
19,Friendswood PH,Westwood ST,Neg
20,Greenhill BH,Isidore Newman JN,Aff
21,Kinkaid AK,Memorial CS,Aff
22,Greenhill MS,Damien-St. Lucy's OC,Aff
23,Jesuit CJ,BASIS San Antonio Shavano PK,Neg
24,Friendswood AK,Greenhill MB,Neg
25,Woodward NP,Dripping Springs KT,Aff
26,Woodward CM,Melissa TN,Aff
