,Aff,Neg,Win
0,Unionville KH,Mamaroneck WR,Neg
1,Duke Ellington SA,Banneker MP,Neg
2,Georgetown Day GT,Calvert Hall CH,Aff
3,Mamaroneck MS,Lexington NJ,Aff
4,BASIS DC PS,Georgetown Day MX,Aff
5,Brooklyn Technical GS,CMIT North MG,Aff
6,SWW WP,Brooklyn Technical SH,Neg
7,CMIT North KM,Somerville WC,Neg
8,Duke Ellington TG,Newark Science OO,Neg
9,Somerville KM,Baltimore City HP,Neg
10,Sidwell FV,Lexington DS,Aff
11,Georgetown Day DX,Eleanor Roosevelt AA,Aff
12,Mamaroneck MK,Duke Ellington SO,Neg
13,SWW NN,Boston Latin AL,Aff
14,BASIS DC AP,Baltimore City MW,Aff
15,Calvert Hall SW,Leon Goldstein CS,Aff
16,Baltimore City PM,Brooklyn Technical RC,Neg
17,Lexington XB,Banneker ST,Neg
18,BASIS DC TD,Georgetown Day KN,Neg
19,Georgetown Day RW,Boston Latin LP,Aff
20,Banneker BF,Fenway HM,Neg
21,Brooklyn Technical JL,Lexington HS,Aff
22,Newark Science AO,BASIS DC MC,Neg
