,Aff,Neg,Win
0,Peninsula JS,CK McClatchy PG,Aff
1,Quarry Lane AC,Rowland Hall HG,Aff
2,Polytechnic HG,Peninsula FL,Neg
3,Rowland Hall SC,Peninsula TW,Neg
4,Peninsula KK,San Marino PC,Aff
5,Brophy PP,San Marino CJ,Aff
6,Westlake SB,Peninsula PY,Neg
7,Peninsula DY,New Designs Charter School-University Park CS,Aff
8,Fort Collins EF,Peninsula LiLi,Neg
9,Peninsula KX,Damien-St. Lucy's KN,Aff
10,Meadows GK,Brophy SH,Aff
11,Sonoma PM,Damien-St. Lucy's PP,Neg
12,San Marino PM,Sonoma BD,Aff
13,Peninsula EW,Polytechnic TK,Neg
14,Peninsula BB,Head-Royce DW,Neg
15,Notre Dame DP,College Prep JT,Aff
16,College Prep AB,Lake Balboa DB,Aff
17,Notre Dame DN,Lake Balboa PG,Aff
18,Meadows KR,Quarry Lane AM,Neg
19,Rowland Hall LD,Sonoma LM,Neg
20,OES RL,Peninsula LW,Neg
21,Meadows KS,Notre Dame AM,Neg
22,Rowland Hall UV,Damien-St. Lucy's CM,Aff
23,Damien-St. Lucy's IG,Sonoma YK,Neg
