,Aff,Neg,Win
0,Memorial CS,Baltimore City College WM,Aff
1,Winston Churchill LR,Northwood BC,Neg
2,Dulles CI,BASIS San Antonio Shavano PK,Aff
3,Jesuit CJ,Northwood ZY,Neg
4,Dulles KM,Westside DB,Aff
5,Ronald Reagan FP,Westwood SG,Neg
6,Kinkaid AK,Jesuit LR,Neg
7,Dallas Highland Park BC,Dulles AP,Aff
8,Dulles NM,Northwood SG,Aff
9,Baltimore City College MP,Ore City BS,Aff
10,Stephen F. Austin MM,Baltimore City College PH,Neg
11,Athens RH,Winston Churchill MP,Neg
12,Clear Springs SG,Langham Creek EY,Neg
