,Aff,Neg,Win
0,Mill Valley FP,Blue Valley North MM,Aff
1,De Soto CS,Washburn Rural JK,Aff
2,Blue Valley North LP,Washburn Rural CR,Neg
3,Olathe West OF,Lawrence Free State HaFi,Neg
4,Shawnee Mission East PH,Washburn Rural CH,Aff
5,Shawnee Mission South MJ,Washburn Rural RV,Aff
6,Blue Valley North CT,Blue Valley West SV,Aff
7,Shawnee Mission East BM,Blue Valley West WJ,Neg
8,Blue Valley North BN,Shawnee Mission South KC,Neg
9,Newton KN,Lawrence Free State EP,Aff
10,Mill Valley HK,Shawnee Mission East LK,Aff
11,Lawrence Free State FH,Washburn Rural BH,Aff
12,Blue Valley North NH,Olathe East DG,Neg
13,Shawnee Mission East DS,Blue Valley EM,Neg
