,Aff,Neg,Win
0,Peninsula FL,Rowland Hall HG,Neg
1,Notre Dame NP,Niles West RK,Aff
2,Rowland Hall LD,Meadows KR,Aff
3,Meadows KS,Peninsula LW,Neg
4,Damien-St. Lucy's MO,Notre Dame DP,Neg
5,Damien-St. Lucy's CM,Rowland Hall CU,Neg
6,Damien-St. Lucy's DG,Niles West VK,Neg
7,Peninsula LiLi,Barstow BM,Aff
8,Peninsula EW,Brophy PP,Neg
9,Damien-St. Lucy's JC,Peninsula BB,Neg
10,Casady FJ,Peninsula TW,Neg
11,Damien-St. Lucy's KN,Notre Dame BC,Neg
12,Canyon Crest CS,Notre Dame DuPi,Neg
13,Damien-St. Lucy's RS,Notre Dame AV,Neg
14,Damien-St. Lucy's PP,Niles West SS,Aff
15,Oak Ridge AH,Damien-St. Lucy's IG,Aff
16,Peninsula JS,Meadows CK,Aff
17,Brophy SH,Peninsula DY,Neg
18,Canyon Crest LC,Peninsula PY,Neg
19,Casady SS,Peninsula ZZ,Aff
