,Aff,Neg,Win
0,Glenbrook South KZ,Northside  GT,Aff
1,Northside  LP,Iowa City CH,Neg
2,Millard North WG,Northside  AV,Aff
3,Glenbrook North CL,Whitney Young BM,Neg
4,La Crosse Central YL,Whitney Young DM,Aff
5,Niles North KM,Glenbrook South FB,Neg
6,Minneapolis South SW,Whitney Young SP,Neg
7,Niles North GW,Northside  AD,Neg
8,Glenbrook South PC,Iowa City LL,Neg
9,La Crosse Central CT,Glenbrook North DK,Neg
10,Glenbrook North CR,Glenbrook South MM,Aff
11,Washington AZ,Iowa City Liberty HV,Aff
12,Maine East GR,Walter Payton YY,Neg
13,Glenbrook North FP,Niles North MK,Neg
14,Northside  CX,Newton NK,Neg
15,Niles North CS,Glenbrook North SY,Aff
16,Niles West SS,Niles North SP,Neg
17,Washington DB,Iowa City CR,Aff
18,Farmington CN,Walter Payton BR,Neg
19,Maine East SJ,Niles West BE,Aff
20,Northside  GO,Glenbrook North CiRi,Neg
