,Aff,Neg,Win
0,Rowland Hall CS,Taipei American CH,Neg
1,Rowland Hall UV,Taipei American HW,Aff
2,Taipei American LC,Rowland Hall DL,Aff
3,Notre Dame DM,Taipei American YM,Aff
4,Taipei American LT,Notre Dame BC,Neg
5,Rowland Hall GH,Taipei American YL,Neg
