,Aff,Neg,Win
0,Bellarmine  RH,Lake Balboa NM,Aff
1,San Marino PL,Bellarmine  CG,Neg
2,Sacred Heart Cathedral Prep CB,Peninsula PY,Neg
3,College Prep GS,Archbishop Mitty DN,Neg
4,College Prep JT,Notre Dame GM,Neg
5,Culver City NR,Northwood GC,Neg
6,Sacred Heart Cathedral Prep WL,Canyon Crest ZZ,Aff
7,Huntington DS,Notre Dame NY,Aff
8,Lowell BS,College Prep BT,Aff
9,Peninsula EW,ModernBrain LL,Aff
10,Sonoma BS,Lake Balboa PL,Aff
11,Sonoma BM,Emery MT,Neg
12,Peninsula KK,Damien-St. Lucy's CM,Aff
13,Peninsula JL,Notre Dame AM,Neg
14,New Designs-University Park CG,Canyon Crest LY,Neg
15,Damien-St. Lucy's PP,Stockdale GT,Aff
16,Damien-St. Lucy's IG,Bellarmine  OL,Neg
17,Notre Dame BD,Damien-St. Lucy's KN,Aff
18,Peninsula LiLi,Canyon Crest LC,Neg
19,Sacred Heart Cathedral Prep FY,New Designs-University Park SS,Aff
20,Downtown Magnets LG,Quarry Lane AM,Neg
21,Peninsula DY,VHTPA TT,Aff
22,Quarry Lane PS,Peninsula FW,Aff
23,Coppell TB,Bellarmine  DD,Neg
24,Damien-St. Lucy's JM,Bellarmine  AQ,Neg
25,Notre Dame CP,College Prep JG,Aff
26,VHTPA GR,San Marino LC,Neg
27,California Academy of Mathematics and Science GL,Northwood SA,Neg
28,Ghidotti Early CL,VHTPA MH,Neg
29,Peninsula LL,Notre Dame DP,Aff
30,Quarry Lane HG,College Prep AB,Neg
31,ModernBrain WJ,Peninsula BB,Neg
32,Northwood ZY,Peninsula ZZ,Aff
33,Peninsula KX,Emery KW,Aff
34,Bravo BB,Peninsula TW,Neg
35,Archbishop Mitty MR,Albuquerque AE,Aff
36,Bravo RF,Lowell CL,Neg
37,College Prep EN,CK McClatchy DG,Neg
38,Lake Balboa BB,Elizabeth Learning Center ES,Aff
39,Culver City BL,Lake Balboa DS,Neg
40,VHTPA ON,Elizabeth Learning Center MT,Aff
41,Damien-St. Lucy's DL,Liberal Arts and Science BF,Neg
42,ModernBrain SY,Archbishop Mitty SS,Neg
43,West Campus (Sacramento) CM,Westlake SB,Neg
44,Elizabeth Learning Center CV,ModernBrain PP,Neg
45,OES RL,Liberal Arts and Science CK,Neg
