,Aff,Neg,Win
0,Olathe North MM,Shawnee Mission East PL,Neg
1,Opus CC,Washburn Rural BH,Aff
2,Blue Valley North BN,Barstow GH,Neg
3,Shawnee Mission South MJ,Edison Prep BB,Aff
4,Barstow AR,Blue Valley Southwest PC,Neg
5,Jenks HG,Washburn Rural CR,Neg
6,St Paul Central BM,Barstow OS,Neg
7,Maize BR,Meadows HS,Neg
8,Little Rock Central BF,Crossings Christian SP,Aff
9,Blue Valley North CT,Barstow KP,Aff
10,Maize CL,St Paul Central UB,Neg
11,Shawnee Mission South KC,Little Rock Central BG,Neg
12,Shawnee Mission South AZ,Meadows GS,Neg
13,Lawrence Free State FH,L C Anderson SW,Neg
14,Blue Valley North LP,Shawnee Mission East HT,Neg
15,Little Rock Central LW,St Paul Central WC,Aff
16,Casady FJ,Barstow BM,Neg
