,Aff,Neg,Win
0,Lansing YO,La Crosse Central ST,Aff
1,Blue Valley West WA,NSU BL,Neg
2,Washington BD,Iowa City MC,Aff
3,Edina BL,Shawnee Mission East HT,Neg
4,NSU AC,La Crosse Central BL,Neg
5,Shawnee Mission East PL,Dowling Catholic BS,Aff
6,Shawnee Mission West WS,Maine East RS,Aff
7,Baltimore City MW,Iowa City RL,Aff
8,Lowell CL,Westminster YZ,Aff
9,NSU AY,Franklin SP,Neg
10,Edina AC,Blue Valley West BT,Aff
11,Iowa City West SL,Washington LZ,Neg
12,Blue Valley TH,College Prep BA,Neg
13,Maize BR,Lawrence Free State FH,Neg
14,Lowell SB,Lawrence Free State HF,Aff
15,Unionville HK,Maine East JW,Aff
16,Blue Valley West SV,Iowa City CL,Neg
17,Edina AW,Blue Valley West MC,Neg
18,Maize CL,Blue Valley West MJ,Aff
