,Aff,Neg,Win
0,Winston Churchill LR,Dulles AP,Aff
1,Langham Creek EY,Jesuit CJ,Aff
2,Clear Springs SG,Jesuit LR,Aff
3,Northwood SG,Baltimore City College PH,Aff
4,BASIS San Antonio Shavano PK,Baltimore City College WM,Neg
5,Westside DB,Westwood SG,Neg
6,Memorial SW,Ronald Reagan FP,Neg
7,Kinkaid AK,Dulles NM,Aff
8,Winston Churchill MP,Northwood BC,Aff
9,Baltimore City College MP,Dallas Highland Park BC,Neg
10,Ore City BS,Stephen F. Austin MM,Aff
11,Athens RH,Northwood ZY,Aff
12,Memorial CS,Dulles CI,Neg
