,Aff,Neg,Win
0,Montgomery Bell VT,Woodward HS,Aff
1,Montgomery Bell WJ,Johns Creek VG,Neg
2,Montgomery Bell/Harpeth Hall HB,Alpharetta MM,Aff
3,Woodward AR,Denmark BR,Neg
4,Carrollton School of the Sacred Heart RG,Montgomery Bell KF,Neg
5,Carrollton School of the Sacred Heart DF,Alpharetta IN,Neg
6,Northview NL,Montgomery Bell RP,Aff
7,Carrollton School of the Sacred Heart FB,Woodward PD,Aff
8,Woodward RS,Montgomery Bell RA,Neg
9,Galloway IR,Alpharetta CM,Neg
10,Woodward CH,Montgomery Bell MM,Neg
11,Montgomery Bell DP,USN CS,Neg
12,Johns Creek HC,Carrollton School of the Sacred Heart MG,Neg
13,Pace MG,Montgomery Bell RS,Aff
