,Aff,Neg,Win
0,Ronald Reagan FP,Woodward JT,Aff
1,Woodward PN,St Mark's School of Texas JB,Aff
2,Jenks HG,George Washington MR,Aff
3,Coppell TB,BASIS San Antonio Shavano KP,Aff
