,Aff,Neg,Win
0,Barstow BM,Maize BR,Aff
1,Shawnee Mission South MJ,Barstow OS,Neg
2,Meadows GS,St Paul Central WC,Aff
3,Edison Prep BB,Shawnee Mission South MD,Aff
4,Olathe North MM,St Paul Central UB,Neg
5,Little Rock Central BG,Jenks HG,Neg
6,Shawnee Mission East PL,Crossings Christian SP,Aff
7,Meadows HS,Barstow GH,Neg
8,L C Anderson SW,Blue Valley Southwest PC,Aff
9,Barstow KP,St Paul Central BM,Neg
10,Barstow AR,Blue Valley North LP,Neg
11,Blue Valley North CT,Shawnee Mission East HT,Neg
12,Maize CL,Shawnee Mission South AZ,Aff
13,Washburn Rural BH,Little Rock Central BF,Aff
14,Opus CC,Lawrence Free State FH,Neg
15,Blue Valley North BN,Shawnee Mission South KC,Aff
16,Washburn Rural CR,Little Rock Central LW,Neg
