,Aff,Neg,Win
0,Peninsula LL,VHTPA MH,Aff
1,Bellarmine  DD,College Prep AB,Aff
2,Bellarmine  AQ,Notre Dame BD,Aff
3,Peninsula KX,Quarry Lane AM,Aff
4,Liberal Arts and Science CK,Notre Dame AM,Aff
5,Peninsula KK,Bellarmine  CG,Aff
6,Liberal Arts and Science BF,Coppell TB,Aff
7,Lowell CL,Huntington DS,Aff
