,Aff,Neg,Win
0,Damien-St. Lucy's JC,Elizabeth Learning Center CB,Aff
1,Culver City NR,Elizabeth Learning Center EV,Aff
2,Liberal Arts and Science LR,Quarry Lane AM,Neg
3,Damien-St. Lucy's PP,Canyon Crest LC,Aff
4,Quarry Lane HG,Liberal Arts and Science CK,Neg
5,Downtown Magnets KL,Quarry Lane AC,Neg
6,Canyon Crest CS,Quarry Lane PS,Neg
7,ModernBrain QY,Damien-St. Lucy's GF,Aff
8,Canyon Crest ZZ,ModernBrain WJ,Aff
9,VHTPA TT,Canyon Crest LY,Aff
10,Huntington Park DS,Quarry Lane KP,Neg
11,Huntington Park BP,Bravo CJ,Aff
12,Independant D'Mello KD,ModernBrain SL,Neg
13,Damien-St. Lucy's KN,Elizabeth Learning Center MT,Aff
14,Rowland Hall HG,Bravo HH,Aff
15,Liberal Arts and Science LM,ModernBrain PP,Aff
16,Damien-St. Lucy's RS,VHTPA GN,Neg
