,Aff,Neg,Win
0,Blue Valley Southwest PC,Washburn Rural BH,Aff
1,Lawrence Free State FE,Blue Valley Southwest DT,Aff
2,Olathe North FC,Hayden BA,Aff
3,Washburn Rural CN,Blue Valley North CT,Aff
4,Newton KN,Blue Valley West VS,Neg
5,Shawnee Mission South MJ,Lawrence Free State PH,Aff
