,Aff,Neg,Win
0,Dulles MN,Langham Creek CT,Aff
1,Westwood AS,Athens TS,Aff
2,BASIS San Antonio Shavano KP,Reagan FP,Aff
3,BASIS San Antonio Shavano AT,Tomball Memorial CN,Neg
4,Casady FJ,Rock Hill AS,Aff
5,Westwood YS,Liberal Arts and Science CK,Neg
6,Elkins PS,Winston Churchill LR,Neg
7,Jesuit LR,Coppell JS,Neg
8,Hendrickson AH,Austin Peace KF,Aff
9,Liberal Arts and Science LM,Lake Travis SO,Aff
10,Heritage Hall HH,Casady SS,Aff
11,Prosper CG,Clear Springs SG,Neg
12,Crossings Christian TL,Winston Churchill CL,Aff
13,Langham Creek EY,Edmond Memorial HL,Aff
14,Melissa NT,Liberal Arts and Science VA,Neg
15,Austin Peace SA,Prosper HS,Aff
16,Westwood GS,Kinkaid AK,Aff
17,Dulles IC,Jesuit CJ,Aff
18,Austin Peace SS,Coppell GM,Neg
19,Greenhill BH,Westwood BA,Neg
20,L C Anderson SW,Westwood GK,Neg
21,Liberal Arts and Science BS,Greenhill CS,Aff
22,Isidore Newman JN,Greenhill MO,Neg
23,Prosper AV,Claudia Taylor Johnson GR,Aff
24,Greenhill LB,Winston Churchill RL,Aff
25,Liberal Arts and Science RL,Winston Churchill MP,Aff
26,Westwood TL,Caddo Magnet VA,Aff
27,Austin Peace KK,Pharr San Juan Alamo Southwest CG,Aff
28,Coppell SP,Caddo Magnet MP,Neg
29,Jesuit BP,Liberal Arts and Science LR,Neg
30,Melissa SM,Crossings Christian SP,Neg
31,McCallum MV,Pharr San Juan Alamo Southwest VC,Aff
32,Niles West SS,Heritage Hall HC,Aff
33,Dripping Springs CK,Athens HR,Neg
