,Aff,Neg,Win
0,Mamaroneck CF,Baltimore City MW,Aff
1,Newark Science OO,Mamaroneck MS,Neg
2,Newark Science AO,Mamaroneck GA,Aff
3,Calvert Hall SW,Brooklyn Technical JL,Aff
