,Aff,Neg,Win
0,Newark Science OO,SWW WP,Aff
1,CMIT North MG,Duke Ellington SS,Neg
2,BASIS DC MC,Sidwell DJ,Aff
3,Calvert Hall SW,Mamaroneck MT,Aff
4,Calvert Hall BM,Baltimore City HM,Neg
5,Brooklyn Technical JL,Collegiate FK,Aff
6,BASIS DC DS,Mamaroneck SW,Aff
7,Banneker TG,Creative Minds/Stuart Hobson MT,Aff
8,Mamaroneck AG,Newark Science AO,Neg
9,McDonogh VB,CMIT North/DuVal KM,Neg
10,Georgetown Day GK,BASIS DC TP,Aff
11,Brooklyn Technical MC,Eleanor Roosevelt AA,Neg
12,BASIS DC AP,Mamaroneck WR,Neg
13,Duke Ellington SO,Banneker MS,Neg
14,Calvert Hall CH,Hardy GP,Aff
15,Sidwell AA,Collegiate PX,Neg
16,Georgetown Day KN,Collegiate TL,Neg
17,Mamaroneck FC,Baltimore City AP,Aff
18,McDonogh CM,SWW DP,Neg
19,Forest Park AF,Duke Ellington TA,Neg
20,Calvert Hall AJ,McDonogh KL,Aff
21,Mamaroneck MS,Georgetown Day DX,Aff
22,Baltimore City MW,Sidwell FV,Aff
23,Brooklyn Technical GS,College Park AO,Aff
24,Banneker TY,McDonogh SP,Aff
25,SWW NN,McDonogh AH,Aff
