,Aff,Neg,Win
0,BASIS DC CM,Newark Science AO,Neg
1,Mamaroneck MT,Baltimore City HM,Aff
2,McDonogh KL,Collegiate TL,Neg
3,Collegiate PX,SWW WP,Neg
4,Calvert Hall CH,SWW NN,Neg
5,Mamaroneck RW,BASIS DC TP,Aff
6,Mamaroneck GA,McDonogh VB,Aff
7,McDonogh SP,Brooklyn Technical MC,Aff
8,Hardy GP,Calvert Hall AJ,Aff
9,Calvert Hall SW,Mamaroneck SW,Aff
10,Brooklyn Technical SG,Duke Ellington TA,Aff
11,BASIS DC DS,Banneker MS,Aff
12,Collegiate FK,McDonogh CM,Aff
13,CMIT North MG,College Park AO,Neg
14,Mamaroneck MS,Duke Ellington SO,Aff
15,SWW DP,Banneker TY,Neg
16,Sidwell AA,Calvert Hall BM,Neg
17,Georgetown Day GK,Mamaroneck CF,Neg
18,Duke Ellington SS,Sidwell DJ,Neg
19,BASIS DC AP,CMIT North/DuVal KM,Aff
20,Eleanor Roosevelt AA,Georgetown Day DX,Neg
21,Banneker TG,Baltimore City MW,Neg
22,Forest Park AF,McDonogh AH,Neg
23,Georgetown Day KN,Brooklyn Technical JL,Neg
24,Newark Science OO,Creative Minds/Stuart Hobson MT,Aff
25,Sidwell FV,Baltimore City AP,Neg
