,Aff,Neg,Win
0,Shawnee Mission South AZ,Barstow AR,Aff
1,Barstow GH,Meadows GS,Aff
2,Shawnee Mission South MD,Opus CC,Neg
3,St Paul Central UB,Edison Prep BB,Neg
4,St Paul Central BM,Barstow BM,Neg
5,Blue Valley North LP,Maize CL,Neg
6,Little Rock Central LW,Washburn Rural BH,Aff
7,Maize BR,Casady FJ,Neg
8,Lawrence Free State FH,Washburn Rural CR,Aff
9,Shawnee Mission East HT,Blue Valley North BN,Neg
10,St Paul Central WC,Shawnee Mission South MJ,Neg
11,Crossings Christian SP,Little Rock Central BG,Aff
12,Shawnee Mission South KC,Meadows HS,Neg
13,Blue Valley Southwest PC,Shawnee Mission East PL,Neg
14,Jenks HG,Olathe North MM,Neg
15,Little Rock Central BF,Blue Valley North CT,Neg
16,Barstow OS,L C Anderson SW,Neg
