,Aff,Neg,Win
0,Georgetown Day DX,Lexington LM,Neg
1,Mamaroneck MS,College Prep JG,Neg
2,Mamaroneck GA,Northstar Academy HS - Newark MA,Aff
3,Georgetown Day MT,Brooklyn Technical JL,Neg
