,Aff,Neg,Win
0,Whitney Young SP,New Trier SB,Neg
1,Jones FR,New Trier MP,Neg
2,Northside  KP,Goode STEM BH,Aff
3,Northside  PP,New Trier HJ,Neg
4,Whitney Young BM,Northside  GT,Aff
5,Wylie E. Groves PS,Glenbrook North CL,Neg
6,Glenbrook North DP,New Trier ShAn,Neg
7,Glenbrook North CR,Solorio TV,Aff
8,Niles North KB,Solorio GC,Neg
9,Glenbrook North SY,Niles North GW,Neg
10,Maine East GR,Iowa City CL,Neg
11,Glenbrook South KZ,Walter Payton BS,Neg
12,Lane Tech  JK,Northside  DT,Aff
13,Pittsburgh Central Catholic AH,Glenbrook North FP,Neg
14,Northside  GL,Glenbrook South MM,Neg
15,New Trier PY,Solorio MP,Aff
16,Jones HB,Niles North HM,Aff
17,New Trier HY,Glenbrook North SS,Aff
18,Glenbrook North DeKo,Northside  CX,Neg
19,New Trier HP,Lane Tech  ZQ,Neg
20,Northside  OS,New Trier SW,Neg
21,Von Steuben LL,Solorio MC,Aff
22,Washington BD,Walter Payton JF,Aff
23,Glenbrook South TB,Maine East JW,Neg
24,New Trier CT,Glenbrook South CF,Neg
25,Northside  AV,Glenbrook North JW,Neg
26,Wylie E. Groves XC,Northside  AD,Aff
27,Kenwood BH,Von Steuben LM,Neg
28,Edina AC,Walter Payton DI,Aff
29,Whitney Young SV,Minneapolis South WB,Aff
30,Kenwood SW,Niles North CS,Aff
31,Niles North MK,Glenbrook South MP,Aff
32,Kenwood PW,Walter Payton DD,Aff
33,Whitney Young SW,Maine East MS,Aff
34,Niles North SP,Glenbrook South WB,Neg
35,Univ Of Chicago Lab LL,Thomas Kelly MG,Aff
36,Avery Hybrid FB,Walter Payton YY,Aff
